session_test_id,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
label_test_2,30a3bf2a-b5a4-404f-8910-44f224a6357b,hq_label,S8700,35,127234,
label_test_2,30a3bf2a-b5a4-404f-8910-44f224a6357b,hq_label,S3500,6,127234,
label_test_2,30a3bf2a-b5a4-404f-8910-44f224a6357b,hq_label,S10700,68,127234,
label_test_2,30a3bf2a-b5a4-404f-8910-44f224a6357b,hq_label,S12000,80,127234,
label_test_2,30a3bf2a-b5a4-404f-8910-44f224a6357b,hq_label,S5500,8,127234,
label_test_2,30a3bf2a-b5a4-404f-8910-44f224a6357b,hq_label,S10000,56,127234,
label_test_2,30a3bf2a-b5a4-404f-8910-44f224a6357b,hq_label,reference,100,127234,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,trening,reference,100,143248,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,trening,S12000,100,143248,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,trening,S8700,34,143248,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,trening,S10700,51,143248,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,trening,S11300,58,143248,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,trening,S7000,20,143248,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,trening,S10000,79,143248,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,trening,S9300,51,143248,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,trening,S8000,45,143248,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,trening,S5500,32,143248,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,trening,S3500,12,143248,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S9300,62,167430,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S5500,28,167430,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S12000,92,167430,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S8000,45,167430,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S7000,37,167430,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S11300,81,167430,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S3500,16,167430,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,reference,100,167430,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S10700,73,167430,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S10000,73,167430,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S8700,54,167430,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S5500,21,200463,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S10000,89,200463,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S11300,96,200463,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S9300,64,200463,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S7000,34,200463,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S10700,89,200463,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S8000,68,200463,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S8700,77,200463,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S12000,100,200463,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,S3500,12,200463,
label_test_2,5e67f257-33d4-4679-bc4f-24a8159b8bcd,hq_label,reference,100,200463,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,trening,S7000,51,456429,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,trening,S10000,69,456429,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,trening,reference,100,456429,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,trening,S12000,75,456429,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,trening,S5500,33,456429,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,trening,S10700,78,456429,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,trening,S9300,66,456429,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,trening,S8700,45,456429,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,trening,S8000,46,456429,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,trening,S11300,72,456429,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,trening,S3500,6,456429,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S8700,36,246385,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S10000,55,246385,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S12000,81,246385,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S3500,11,246385,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S7000,52,246385,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S5500,32,246385,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S10700,77,246385,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S11300,79,246385,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S9300,68,246385,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S8000,62,246385,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,reference,100,246385,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S3500,13,172624,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,S8700,40,172624,
label_test_2,1e3bb1c6-6b0a-4fc7-9bc1-05adf5212d58,hq_label,reference,100,172624,
