session_test_id,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
label_test_2,334ebe64-8c04-4147-b635-81d6a57fedcd,hq_label,reference,100,51507,
label_test_2,334ebe64-8c04-4147-b635-81d6a57fedcd,hq_label,S9300,63,51507,
label_test_2,334ebe64-8c04-4147-b635-81d6a57fedcd,hq_label,S5500,23,51507,
label_test_2,334ebe64-8c04-4147-b635-81d6a57fedcd,hq_label,S8000,32,51507,
label_test_2,334ebe64-8c04-4147-b635-81d6a57fedcd,hq_label,S12000,100,51507,
label_test_2,334ebe64-8c04-4147-b635-81d6a57fedcd,hq_label,S8700,48,51507,
label_test_2,334ebe64-8c04-4147-b635-81d6a57fedcd,hq_label,S10000,67,51507,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,trening,S8700,38,60947,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,trening,S5500,51,60947,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,trening,S10700,88,60947,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,trening,S7000,64,60947,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,trening,S11300,95,60947,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,trening,S8000,68,60947,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,trening,S12000,100,60947,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,trening,S9300,79,60947,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,trening,S10000,84,60947,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,trening,reference,96,60947,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,trening,S3500,21,60947,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S10700,29,53036,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S5500,4,53036,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S7000,12,53036,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S12000,89,53036,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S10000,74,53036,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S3500,0,53036,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S8000,16,53036,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S8700,75,53036,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S9300,80,53036,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S11300,86,53036,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,reference,100,53036,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S10700,70,54537,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S10000,75,54537,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S8000,27,54537,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S11300,96,54537,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S3500,1,54537,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,reference,96,54537,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S5500,11,54537,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S7000,9,54537,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S12000,100,54537,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S8700,90,54537,
label_test_2,511f42ec-3449-44ec-9fb4-ca0dc4891b32,hq_label,S9300,83,54537,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,trening,S3500,14,70939,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,trening,S11300,68,70939,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,trening,S10000,20,70939,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,trening,S8000,53,70939,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,trening,S8700,59,70939,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,trening,S10700,75,70939,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,trening,S12000,96,70939,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,trening,S7000,0,70939,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,trening,reference,100,70939,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,trening,S9300,80,70939,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,trening,S5500,41,70939,
label_test_2,b4ebd69b-c840-4755-8006-20051c158b60,hq_label,S3500,10,57884,
